title,subtitle,link
BIT THE DUST,Man Utd blow as bargain striker target snubs Old Trafford move,https://www.thesun.co.uk/sport/35823595/man-utd-dusan-vlahovic-juventus/
MARC'D MAN,Liverpool to make 'take-it-or-leave-it' offer for Crystal Palace star Marc Guehi,https://www.thesun.co.uk/sport/35820705/liverpool-marc-guehi-transfer-bid-crystal-palace/
UNITED LATEST,"Brentford 'RAISE Mbeumo price', Utd 'eye Jackson', Estupinan 'interest'",https://www.thesun.co.uk/sport/35383362/man-utd-transfer-news-live-mbeumo-palhinha-jackson-updates/
GUNNERS LATEST,"Gyokeres 'set for MEDICAL', Madueke IMMINENT, Nwaneri agrees NEW contract",https://www.thesun.co.uk/sport/35382625/arsenal-transfer-news-live-gyokeres-medical-madueke-updates/
DEAL PENDING,Man Utd keeper wanted by Championship side as Reds face stopper crisis,https://www.thesun.co.uk/sport/35823170/man-utd-goalkeeper-millwall-radek-vitek/
BEING FRANK,Udogie appears to accidentally leak new Spurs tactic with stars 'auditioning',https://www.thesun.co.uk/sport/35844293/destiny-udogie-new-tottenham-tactic-thomas-frank-brentford/
BARN STORMER,Little-known Chelsea ace who was recently at BARNSLEY celebrates with glam Wag,https://www.thesun.co.uk/sport/35843643/chelsea-gabriel-slonina-girlfriend-club-world-cup-barnsley/
OH NO-NA,Man Utd in huge transfer dilemma as Andre Onana ruled out of US tour,https://www.thesun.co.uk/sport/35816300/man-utd-andre-onana-injury-transfer-dilemma/
CATS OUT THE BAG,Sunderland ready to make wonderkid Rigg one of Prem's best-paid youngsters,https://www.thesun.co.uk/sport/35819617/sunderland-chris-rigg-pay-rise-transfer-exclusive/
ARE YOU MAD?,Rio brands Arsenal fans 'utter disgrace' over petition to not sign Madueke,https://www.thesun.co.uk/sport/35818045/ferdinand-arsenal-disgrace-petition-madueke/
ANDREW DILLON,The silence over Enzo Fernandez racism row is deafening a year on,https://www.thesun.co.uk/sport/35605860/chelsea-enzo-fernandez-racism-row-update/
DAVE KIDD,Beckham deserves knighthood for changing working-class English lads forever,https://www.thesun.co.uk/sport/35432104/david-beckham-knighthood-working-class/
KARREN BRADY,Fans will see even more rule changes next season - when will this ever end?,https://www.thesun.co.uk/sport/35099462/premier-league-rule-changes-football-rules-karren-brady/
